"","standard_value","Binary","assay_type","not_sure","rdkit"
"16",9.29242982390206,1,"binding",0,"CC(C)(C)N1CCC(c2cc3c(ccc(=O)n3-c3c(Cl)cccc3Cl)c(-c3ccc(F)cc3F)n2)CC1"
"17",6.1771783546969,0,"binding",1,"CC1(C)OC[C@@H](COc2ccc3c(c2)COc2cc(Nc4ccc(F)cc4F)ccc2C3=O)O1"
"18",8.30102999566398,1,"binding",0,"Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(NC2CCN(C)CC2)nc1"
"19",5.45593195564972,0,"binding",0,"COc1ccc(Nc2ncc3nc(Nc4c(F)cccc4F)n(C4CCCC4)c3n2)cc1"
"20",6.76955107862173,0,"binding",1,"CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(NC(=O)/C=C/c3c(Cl)cccc3Cl)c2)n1C"
"21",7.55284196865778,1,"binding",0,"N#Cc1cccc(Cc2nc(-c3ccc(F)cc3)c(-c3ccnc(N)n3)[nH]2)c1"
"22",7.69897000433602,1,"binding",0,"Oc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)c1"
"23",5.62893213772826,0,"binding",0,"Cc1cccc(-c2[nH]c(CNc3cc(C#N)cc(CN4CCCC4)c3)nc2-c2ccc3ncnn3c2)n1"
"24",8.22184874961636,1,"binding",0,"CC(=O)Nc1nccn1CCOc1ccc(NC(=O)Nc2cc(C(C)(C)C)nn2-c2ccc(C)cc2)c2ccccc12"
"25",8.21467016498923,1,"binding",0,"CC(C)S(=O)(=O)n1c(N)nc2ccc(-c3[nH]c(-c4ccncc4)nc3-c3ccccc3)cc21"
"26",4.82390874094432,0,"binding",0,"Cc1ccc(-c2ccc(N)nn2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1"
"27",7.61978875828839,1,"binding",0,"CCn1c(-c2ccncc2)c(-c2ccc(F)cc2)c2ncccc21"
"28",8.58502665202918,1,"binding",0,"Cn1c(=O)c(-c2cc(C(=O)NC3CC3)ccc2Cl)cc2cnnc(-c3ccc(F)cc3F)c21"
"29",5,0,"binding",0,"CNc1ncc(C(=O)Nc2cc(C(=O)Nc3cccc(C(F)(F)F)c3C)ccc2C)c(OC)n1"
"30",8.06550154875643,1,"binding",0,"Cc1ccc(C(=O)NC2CC2)cc1NC(=O)c1ccc(-c2ccc(CN(C)C)cc2)s1"
"31",6.31875876262441,0,"binding",1,"Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2CCCN2CCOCC2)n1"
"32",7.85387196432176,1,"binding",0,"Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1C(=O)Nc1cnc(N)nc1"
"33",6.24108810760203,0,"binding",1,"Cc1cccc(C(=O)c2ccc(Nc3ccccc3N)cc2)c1"
"34",5.54821356447571,0,"binding",0,"CC(=O)Nc1ccccc1NCc1nc(-c2ccc3ncnn3c2)c(-c2cccc(C)n2)[nH]1"
"35",6,0,"binding",0,"CCc1nc(-c2cccc(C)c2)c(-c2ccnc(N(C)C(=O)c3ccccc3)c2)s1"
"36",6,0,"binding",0,"Cc1cccc(-c2c(-c3ccc4nc(C)c(C)nc4c3)cnn2CC(=O)Nc2cccc(C#N)c2)n1"
"37",9.04575749056067,1,"binding",0,"CNc1ncc2cc(-c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)ccc2n1"
"38",7.69897000433602,1,"binding",0,"CN1CCC(c2cc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CC1"
"39",6.46852108295774,0,"binding",1,"Fc1ccc(-c2cc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1"
"40",6.83392444834802,1,"non_binding",1,"C[S+]([O-])c1nc(-c2ccc(F)cc2)c(-c2ccnc(NC3CCCCC3)c2)[nH]1"
